country,url,advisory_level,country_standardized,advisory_label
Spain,https://www.ireland.ie/en/dfa/overseas-travel/advice/spain/,1.0,Spain,Normal Precautions
Great Britain,https://www.ireland.ie/en/dfa/overseas-travel/advice/great-britain/,1.0,Great Britain,Normal Precautions
Portugal,https://www.ireland.ie/en/dfa/overseas-travel/advice/portugal/,1.0,Portugal,Normal Precautions
Turkiye,https://www.ireland.ie/en/dfa/overseas-travel/advice/turkiye/,2.0,Turkiye,High Degree of Caution
France,https://www.ireland.ie/en/dfa/overseas-travel/advice/france/,1.0,France,Normal Precautions
Germany,https://www.ireland.ie/en/dfa/overseas-travel/advice/germany/,1.0,Germany,Normal Precautions
United States Of America,https://www.ireland.ie/en/dfa/overseas-travel/advice/united-states-of-america/,1.0,United States,Normal Precautions
Italy,https://www.ireland.ie/en/dfa/overseas-travel/advice/italy/,1.0,Italy,Normal Precautions
Afghanistan,https://www.ireland.ie/en/dfa/overseas-travel/advice/afghanistan/,4.0,Afghanistan,Do Not Travel
Albania,https://www.ireland.ie/en/dfa/overseas-travel/advice/albania/,1.0,Albania,Normal Precautions
Algeria,https://www.ireland.ie/en/dfa/overseas-travel/advice/algeria/,2.0,Algeria,High Degree of Caution
Andorra,https://www.ireland.ie/en/dfa/overseas-travel/advice/andorra/,1.0,Andorra,Normal Precautions
Angola,https://www.ireland.ie/en/dfa/overseas-travel/advice/angola/,2.0,Angola,High Degree of Caution
Anguilla,https://www.ireland.ie/en/dfa/overseas-travel/advice/anguilla/,1.0,Anguilla,Normal Precautions
Antigua And Barbuda,https://www.ireland.ie/en/dfa/overseas-travel/advice/antigua-and-barbuda/,1.0,Antigua And Barbuda,Normal Precautions
Argentina,https://www.ireland.ie/en/dfa/overseas-travel/advice/argentina/,2.0,Argentina,High Degree of Caution
Armenia,https://www.ireland.ie/en/dfa/overseas-travel/advice/armenia/,2.0,Armenia,High Degree of Caution
Australia,https://www.ireland.ie/en/dfa/overseas-travel/advice/australia/,1.0,Australia,Normal Precautions
Austria,https://www.ireland.ie/en/dfa/overseas-travel/advice/austria/,1.0,Austria,Normal Precautions
Azerbaijan,https://www.ireland.ie/en/dfa/overseas-travel/advice/azerbaijan/,2.0,Azerbaijan,High Degree of Caution
Bahamas,https://www.ireland.ie/en/dfa/overseas-travel/advice/bahamas/,1.0,Bahamas,Normal Precautions
Bahrain,https://www.ireland.ie/en/dfa/overseas-travel/advice/bahrain/,2.0,Bahrain,High Degree of Caution
Bangladesh,https://www.ireland.ie/en/dfa/overseas-travel/advice/bangladesh/,2.0,Bangladesh,High Degree of Caution
Barbados,https://www.ireland.ie/en/dfa/overseas-travel/advice/barbados/,1.0,Barbados,Normal Precautions
Belarus,https://www.ireland.ie/en/dfa/overseas-travel/advice/belarus/,4.0,Belarus,Do Not Travel
Belgium,https://www.ireland.ie/en/dfa/overseas-travel/advice/belgium/,2.0,Belgium,High Degree of Caution
Belize,https://www.ireland.ie/en/dfa/overseas-travel/advice/belize/,3.0,Belize,Avoid Unnecessary Travel
Benin,https://www.ireland.ie/en/dfa/overseas-travel/advice/benin/,2.0,Benin,High Degree of Caution
Bermuda,https://www.ireland.ie/en/dfa/overseas-travel/advice/bermuda/,1.0,Bermuda,Normal Precautions
Bhutan,https://www.ireland.ie/en/dfa/overseas-travel/advice/bhutan/,1.0,Bhutan,Normal Precautions
Bolivia,https://www.ireland.ie/en/dfa/overseas-travel/advice/bolivia/,2.0,Bolivia,High Degree of Caution
Bosnia And Herzegovina,https://www.ireland.ie/en/dfa/overseas-travel/advice/bosnia-and-herzegovina/,1.0,Bosnia And Herzegovina,Normal Precautions
Botswana,https://www.ireland.ie/en/dfa/overseas-travel/advice/botswana/,1.0,Botswana,Normal Precautions
Brazil,https://www.ireland.ie/en/dfa/overseas-travel/advice/brazil/,2.0,Brazil,High Degree of Caution
Brunei Darussalam,https://www.ireland.ie/en/dfa/overseas-travel/advice/brunei-darussalam/,1.0,Brunei Darussalam,Normal Precautions
Bulgaria,https://www.ireland.ie/en/dfa/overseas-travel/advice/bulgaria/,1.0,Bulgaria,Normal Precautions
Burkina Faso,https://www.ireland.ie/en/dfa/overseas-travel/advice/burkina-faso/,4.0,Burkina Faso,Do Not Travel
Burundi,https://www.ireland.ie/en/dfa/overseas-travel/advice/burundi/,4.0,Burundi,Do Not Travel
Cambodia,https://www.ireland.ie/en/dfa/overseas-travel/advice/cambodia/,1.0,Cambodia,Normal Precautions
Cameroon,https://www.ireland.ie/en/dfa/overseas-travel/advice/cameroon/,3.0,Cameroon,Avoid Unnecessary Travel
Canada,https://www.ireland.ie/en/dfa/overseas-travel/advice/canada/,1.0,Canada,Normal Precautions
Cape Verde,https://www.ireland.ie/en/dfa/overseas-travel/advice/cape-verde/,2.0,Cabo Verde,High Degree of Caution
Cayman Islands,https://www.ireland.ie/en/dfa/overseas-travel/advice/cayman-islands/,1.0,Cayman Islands,Normal Precautions
Central African Republic,https://www.ireland.ie/en/dfa/overseas-travel/advice/central-african-republic/,4.0,Central African Republic,Do Not Travel
Chad,https://www.ireland.ie/en/dfa/overseas-travel/advice/chad/,3.0,Chad,Avoid Unnecessary Travel
Chile,https://www.ireland.ie/en/dfa/overseas-travel/advice/chile/,1.0,Chile,Normal Precautions
China,https://www.ireland.ie/en/dfa/overseas-travel/advice/china/,2.0,China,High Degree of Caution
China Hong Kong Macao,https://www.ireland.ie/en/dfa/overseas-travel/advice/china-hong-kong-macao/,2.0,China Hong Kong Macao,High Degree of Caution
Colombia,https://www.ireland.ie/en/dfa/overseas-travel/advice/colombia/,2.0,Colombia,High Degree of Caution
Comoros,https://www.ireland.ie/en/dfa/overseas-travel/advice/comoros/,2.0,Comoros,High Degree of Caution
Congo,https://www.ireland.ie/en/dfa/overseas-travel/advice/congo/,2.0,Republic of the Congo,High Degree of Caution
Democratic Republic Of Congo,https://www.ireland.ie/en/dfa/overseas-travel/advice/democratic-republic-of-congo/,4.0,Democratic Republic Of Congo,Do Not Travel
Cook Islands,https://www.ireland.ie/en/dfa/overseas-travel/advice/cook-islands/,1.0,Cook Islands,Normal Precautions
Costa Rica,https://www.ireland.ie/en/dfa/overseas-travel/advice/costa-rica/,2.0,Costa Rica,High Degree of Caution
Cote Divoire,https://www.ireland.ie/en/dfa/overseas-travel/advice/cote-divoire/,2.0,Cote Divoire,High Degree of Caution
Croatia,https://www.ireland.ie/en/dfa/overseas-travel/advice/croatia/,1.0,Croatia,Normal Precautions
Cuba,https://www.ireland.ie/en/dfa/overseas-travel/advice/cuba/,1.0,Cuba,Normal Precautions
Cyprus,https://www.ireland.ie/en/dfa/overseas-travel/advice/cyprus/,1.0,Cyprus,Normal Precautions
Czech Republic,https://www.ireland.ie/en/dfa/overseas-travel/advice/czech-republic/,1.0,Czechia,Normal Precautions
Denmark,https://www.ireland.ie/en/dfa/overseas-travel/advice/denmark/,1.0,Denmark,Normal Precautions
Djibouti,https://www.ireland.ie/en/dfa/overseas-travel/advice/djibouti/,2.0,Djibouti,High Degree of Caution
Dominica,https://www.ireland.ie/en/dfa/overseas-travel/advice/dominica/,1.0,Dominica,Normal Precautions
Dominican Republic,https://www.ireland.ie/en/dfa/overseas-travel/advice/dominican-republic/,2.0,Dominican Republic,High Degree of Caution
Ecuador,https://www.ireland.ie/en/dfa/overseas-travel/advice/ecuador/,3.0,Ecuador,Avoid Unnecessary Travel
Egypt,https://www.ireland.ie/en/dfa/overseas-travel/advice/egypt/,2.0,Egypt,High Degree of Caution
El Salvador,https://www.ireland.ie/en/dfa/overseas-travel/advice/el-salvador/,2.0,El Salvador,High Degree of Caution
Equatorial Guinea,https://www.ireland.ie/en/dfa/overseas-travel/advice/equatorial-guinea/,2.0,Equatorial Guinea,High Degree of Caution
Eritrea,https://www.ireland.ie/en/dfa/overseas-travel/advice/eritrea/,3.0,Eritrea,Avoid Unnecessary Travel
Estonia,https://www.ireland.ie/en/dfa/overseas-travel/advice/estonia/,1.0,Estonia,Normal Precautions
Eswatini,https://www.ireland.ie/en/dfa/overseas-travel/advice/eswatini/,2.0,Eswatini,High Degree of Caution
Ethiopia,https://www.ireland.ie/en/dfa/overseas-travel/advice/ethiopia/,3.0,Ethiopia,Avoid Unnecessary Travel
Faroe Islands,https://www.ireland.ie/en/dfa/overseas-travel/advice/faroe-islands/,1.0,Faroe Islands,Normal Precautions
Federated States Of Micronesia,https://www.ireland.ie/en/dfa/overseas-travel/advice/federated-states-of-micronesia/,1.0,Federated States Of Micronesia,Normal Precautions
Fiji,https://www.ireland.ie/en/dfa/overseas-travel/advice/fiji/,1.0,Fiji,Normal Precautions
Finland,https://www.ireland.ie/en/dfa/overseas-travel/advice/finland/,1.0,Finland,Normal Precautions
French Guiana,https://www.ireland.ie/en/dfa/overseas-travel/advice/french-guiana/,2.0,French Guiana,High Degree of Caution
Gabon,https://www.ireland.ie/en/dfa/overseas-travel/advice/gabon/,3.0,Gabon,Avoid Unnecessary Travel
Republic Of The Gambia,https://www.ireland.ie/en/dfa/overseas-travel/advice/republic-of-the-gambia/,3.0,Republic Of The Gambia,Avoid Unnecessary Travel
Georgia,https://www.ireland.ie/en/dfa/overseas-travel/advice/georgia/,1.0,Georgia,Normal Precautions
Ghana,https://www.ireland.ie/en/dfa/overseas-travel/advice/ghana/,2.0,Ghana,High Degree of Caution
Greece,https://www.ireland.ie/en/dfa/overseas-travel/advice/greece/,1.0,Greece,Normal Precautions
Greenland,https://www.ireland.ie/en/dfa/overseas-travel/advice/greenland/,1.0,Greenland,Normal Precautions
Grenada,https://www.ireland.ie/en/dfa/overseas-travel/advice/grenada/,1.0,Grenada,Normal Precautions
Guadeloupe,https://www.ireland.ie/en/dfa/overseas-travel/advice/guadeloupe/,2.0,Guadeloupe,High Degree of Caution
Guatemala,https://www.ireland.ie/en/dfa/overseas-travel/advice/guatemala/,2.0,Guatemala,High Degree of Caution
Guinea,https://www.ireland.ie/en/dfa/overseas-travel/advice/guinea/,2.0,Guinea,High Degree of Caution
Guinea Bissau,https://www.ireland.ie/en/dfa/overseas-travel/advice/guinea-bissau/,3.0,Guinea Bissau,Avoid Unnecessary Travel
Guyana,https://www.ireland.ie/en/dfa/overseas-travel/advice/guyana/,2.0,Guyana,High Degree of Caution
Haiti,https://www.ireland.ie/en/dfa/overseas-travel/advice/haiti/,4.0,Haiti,Do Not Travel
Honduras,https://www.ireland.ie/en/dfa/overseas-travel/advice/honduras/,4.0,Honduras,Do Not Travel
Hungary,https://www.ireland.ie/en/dfa/overseas-travel/advice/hungary/,1.0,Hungary,Normal Precautions
Iceland,https://www.ireland.ie/en/dfa/overseas-travel/advice/iceland/,1.0,Iceland,Normal Precautions
India,https://www.ireland.ie/en/dfa/overseas-travel/advice/india/,2.0,India,High Degree of Caution
Indonesia,https://www.ireland.ie/en/dfa/overseas-travel/advice/indonesia/,2.0,Indonesia,High Degree of Caution
Iran,https://www.ireland.ie/en/dfa/overseas-travel/advice/iran/,4.0,Iran,Do Not Travel
Iraq,https://www.ireland.ie/en/dfa/overseas-travel/advice/iraq/,4.0,Iraq,Do Not Travel
Israel,https://www.ireland.ie/en/dfa/overseas-travel/advice/israel/,2.0,Israel,High Degree of Caution
Jamaica,https://www.ireland.ie/en/dfa/overseas-travel/advice/jamaica/,2.0,Jamaica,High Degree of Caution
Japan,https://www.ireland.ie/en/dfa/overseas-travel/advice/japan/,1.0,Japan,Normal Precautions
Jordan,https://www.ireland.ie/en/dfa/overseas-travel/advice/jordan/,2.0,Jordan,High Degree of Caution
Kazakhstan,https://www.ireland.ie/en/dfa/overseas-travel/advice/kazakhstan/,2.0,Kazakhstan,High Degree of Caution
Kenya,https://www.ireland.ie/en/dfa/overseas-travel/advice/kenya/,3.0,Kenya,Avoid Unnecessary Travel
Kiribati,https://www.ireland.ie/en/dfa/overseas-travel/advice/kiribati/,1.0,Kiribati,Normal Precautions
Democratic Republic Of Korea,https://www.ireland.ie/en/dfa/overseas-travel/advice/democratic-republic-of-korea/,3.0,Democratic Republic Of Korea,Avoid Unnecessary Travel
Republic Of Korea,https://www.ireland.ie/en/dfa/overseas-travel/advice/republic-of-korea/,1.0,South Korea,Normal Precautions
Kosovo,https://www.ireland.ie/en/dfa/overseas-travel/advice/kosovo/,3.0,Kosovo,Avoid Unnecessary Travel
